login,company,followers,following,languages,organizations
Treslina                                ,,"{brunocasanova,angusshire,shoshindes,bhavyanshu,ardausman,oguzdemir,stoked-zz,VagrantStory,ternsip,bondgamesbond,nazliozge,AeronStory,dnzprmksz,furkansahin,gintern,RealityDaemon}","{wellbredgrapefruit,chalkers,parndt,kennethlove,quadule,anolson,nickpettit,ryancarson,seangaffney,schneems,neilmiddleton,JeffreyWay,devrim,tobiasahlin,douglascrockford,hatefulcrawdad,ericelliott,nathwill,jondavidjohn,abijlani,trosage,jeremyjantz,jhoffner,prathamesh-sonpatki,kevinsawicki,notnmeyer,benjakuben,jasonlewis,arthurnn,torvalds,abhisekp,sketchings,pixelass,Pasanpr,ltegman,tigransloyan,Guilh,willrstern,JonHMChan,hdngr,gurcanserbest,eriktrautman,ahstro,CheckiO,bhavyanshu,ugurdogrusoz,brunocasanova,SebLague,craftykate,awesomeaniruddh,Colt,laurencebradford,nazliozge,angusshire,furkansahin,iheartkode,joykesten,KevinMulhern,kriox26,craigsdennis,hgducharme,istemi-bahceci,furkanusta,OsmanSenol,alonge,AkiraLaine,shoshindes,berilbasakt,oguzdemir,bondgamesbond,ardausman,kyyldrm,kaankale,turkerkarahan}","{None,C#,C}",
CharlesTaylor                           ,,"{ozymaxx,ipeklalee,ege1993,furkansahin,zubeyr94,cagdass,firatozbay,SafaOzturk}","{evanw,ozymaxx,maverich,furkansahin,baraaorabi,cagdass,zubeyr94}","{PHP,Python,Java,HTML,JavaScript,Shell,None,C}",
guemues                                 ,Teradata                                                                                                                                                                                                                                                  ,"{hantuzun,furkansahin,zubeyr94,cagdass,ahmetbaglan,kalkanb,miracaknar}","{hantuzun,furkansahin,cagdass,istemi-bahceci,ahmetbaglan,miracaknar}","{None,Scala,Python}",
sanpier                                 ,,"{furkansahin,teyfikrumelli}","{ugurdogrusoz,furkansahin,istemi-bahceci,teyfikrumelli}",{Java},
bkakilli                                ,Syracuse University                                                                                                                                                                                                                                       ,"{AbdulkerimAydin,furkansahin,metincansiper,SafaOzturk,ozymaxx,ekremguldeste,fatihaltindis,siang13,HamiOnurBarut}","{alpercem70,hantuzun,ozymaxx,ahmetkucuk,alperensaylar,smblknt,ErdeBek,furkansahin,ayhun,SafaOzturk,metincansiper,AbdulkerimAydin,aydinabdulkerim,ekremguldeste}","{C++,Python,Java}",
cagdass                                 ,,"{begozcan,denizonural,SafaOzturk,ozymaxx,maverich,celikkoseoglu,hantuzun,firatozbay,alierdogan7,selinfildis,abuyukcakir,angusshire,baraaorabi,mertaytore,AbdullahWali,anikristo,figalit,irombie,CharlesTaylor,guemues,AhmetCanSolak,orhca,alchemistake,barispoyraz,erdemadacal,ternsip,mrsfy,ebsenol,ryardley,emirokanisildar,maolcay,OguzhanE,aliatli,meagtan,nazliozge,omercan,bugrafelekoglu,dyigitpolat,yfgeek,mehmetv,kcancelik,furkansahin,altayaydemir,medermand,BFush,cagataykuru}","{lrz,taylanpince,felixge,aral,garybernhardt,davepeck,ustun,rakyll,BYK,nijikokun,sorich87,ssg,kenwheeler,idoan,bgedik,fatih,fehmicansaglam,midorikocak,mehmetkose,jaredsinclair,adidahiya,odersky,mustafaakin,Kjuly,kadircet,calkan,ekremney,maolcay,cubbuk,alimg,Dejal,oguzbilgener,msbarry,cihadoge,nayang,denizyuret,gergelyke,hantuzun,dmytrodanylyk,gvanrossum,BenLangmead,eksuas,ozymaxx,muhammedemincs,maverich,shatlyk,nicolasdugue,altugkarakurt,celikkoseoglu,triforce930,nazliozge,denizonural,amatem,zeyiwen,furkansahin,baraaorabi,echenley,anikristo,SafaOzturk,begozcan,onur-elbirlik,abuyukcakir,CharlesTaylor,senakicir,firatozbay,aliatli,danog,AmateurIndian,medermand,AbdullahWali,ufukomer,hingsir,kcancelik,emresurmeli,Skylifee7,alchemistake,anilyuk,bufferhe4d,dyigitpolat,yasirkula,alierdogan7,mertaytore,orhca,Albocoder,figalit,selinfildis,zubeyr94,barispoyraz,KorayAgaya,AnisaLl,ilterkavlak,guemues,mrsfy,ezgitek,ebsenol,BercesteDincer,turankaanelgin,camligorkem,burcucan,YaseminDoganci,irombie,gurkanbebek,AhmetCanSolak,berk94,oguzdemir,boranyldrm,meagtan,elifsahin11,cdvntr,emirokanisildar,explorator-app}","{PHP,None,C++,Python,Java,JavaScript,Assembly,TeX,Haskell,Arduino,CSS,C,Cuda}",
mrsfy                                   ,,"{kcancelik,ebatuhankaynak,taitle,ziyaimamoglu,metincansiper,cagdass,celikkoseoglu,renyaoxiang,meagtan,alchemistake,bufferhe4d,omercan,burakerk,EsraAyaz,istemi-bahceci,furkansahin,mertyrdkl}","{maxkfranz,ertanunver,sahin,hantuzun,omercan,ugurdogrusoz,celikkoseoglu,furkansahin,cagdass,metincansiper,kcancelik,istemi-bahceci,taitle,alchemistake,bufferhe4d,Chatatata,mertaytore,burakerk,meagtan,HuseyinOrkun,ebatuhankaynak,ziyaimamoglu,mertyrdkl}","{JavaScript,C#,Java}","{""<Organization [ozguryazilim:]>"",""<Organization [iVis-at-Bilkent:]>""}"
kalderia                                ,,{bugrafelekoglu},"{bugrafelekoglu,furkansahin,eldarfin,muhammadhamzakhan}","{None,Java}",
istemi-bahceci                          ,,"{milkers,furkansahin,fcagil,melihekmekci,guemues,alonge,Treslina,sanpier,cusspvz,mrsfy,zackhaikal,elianasweet,renyaoxiang,IgorRodchenkov,omercan,nilayu,huseyinozkilic}","{NARKOZ,milkers,mustafaakin,utdemir,IgorRodchenkov,prideout,yalcinerbora,onursumer,furkansahin,mrsfy}","{""Web Ontology Language"",JavaScript}","{""<Organization [cytoscape:]>"",""<Organization [PathwayCommons:]>"",""<Organization [BioPAX:]>"",""<Organization [iVis-at-Bilkent:]>""}"
mertaytore                              ,Bilkent University                                                                                                                                                                                                                                        ,"{celikkoseoglu,barispoyraz,selinfildis,cagdass,BYK,ebsenol,orhca,mrsfy,AbdullahWali,medermand,senakicir,envergokmen,bugrafelekoglu,figalit,orkalp,mehmetv,furkansahin}","{lrz,BYK,dnomak,filipegoncalves,celikkoseoglu,furkansahin,cagdass,senakicir,ebsenol}","{PHP,Python,Java,CoffeeScript,HTML,Verilog,C++}",
barispoyraz                             ,,"{alchemistake,serhataras,cagdass,selinfildis,bugrafelekoglu,dyigitpolat,furkansahin}","{lrz,ugurdogrusoz,celikkoseoglu,bugrafelekoglu,furkansahin,cagdass,AbdullahWali,ZeynepDelalMutlu,alchemistake,DjCedrics,dyigitpolat,mertaytore,selinfildis,serhataras,efeUlasAkay,ebsenol,burakgok}","{None,Java}",
buluta3                                 ,,"{halilertekin,neias}","{arunoda,ustun,gadicc,SelenGora,burakiren}","{JavaScript,Python,HTML}",
lfittl                                  ,,"{cbx,michael,sushimako,oneup,stereotype,consti,georgyo,philippWassibauer,kopa,fin,zeha,astera,mathieuravaux,lefant,fabiant7t,thomasrobak,stephanpoetschner,lutoma,toomasr,lukashoffmann,solidrails,cjbell,redtux,jaybrueder,noahteacake,kathaka,amitkalsi,FloorD,beanieboi,pforai,colazionearoma,adrianmsmith,somlor,tiefenb,chriswitko,RStankov,ReggieSackey,levi,lporcheron,mscoutermarsh,kylemichelson,andrew,jackvim,dragansah,ajsb85,bountin,markazz,gautamkmr,lucahammer,hooopo,musha68k,bkvirendra,joelpurra,owenstrevor,alexbeletsky,tjcowboyup,mic-kul,apolmig,mxstbr,dvalchanov,JohnClema,nikgraf,snmfkrqw,onderkalaci,angusshire,avinoamr,cvsekhar,furkansahin,adnmustam,nepur,grasp,dvliman,gravitygz,jmscott,rojobuffalo,sibelius,gilesvangruisen,ltouro,andreas83,evinw,marwanhilmi,pennyandsean,sunilraju,stonegao,mrluanma,maia,vagnerdev,markdyousef,cidiomar-jr,norpol,hjaekwon}","{al3x,rtomayko,progrium,joe-loco,will,JackDanger,tmm1,tenderlove,sushimako,oneup,stereotype,fdr,angelol,joshk,esad,titanous,simon-engledew,c3o,georgyo,mikeyk,boucher,fin,alban,beanieboi,astera,philips,ukd1,coffeemug,jasonmp85,chancancode,schneems,qdw,hackertalks,somlor,korbin,jberkus,flomotlik,metdos,florianeckerstorfer,terrorobe,solidsnack,shedd,sivers,kintel,jakob,gdb,ankane,andreasklinger,mamut,pa7,chrillo,solidrails,armon,davidmckinney,cjbell,jasdel,michaelpq,gravicle,AustinBGibbons,FiloSottile,mischief,anarazel,ozgune,sumedhpathak,kathaka,colazionearoma,samay-sharma,umurc,marcocitus,onderkalaci,mtuncer,remzicanaksoy}","{C++,Python,Go,CoffeeScript,HTML,JavaScript,Ruby,Shell,CSS,None,C}","{""<Organization [soup:]>"",""<Organization [hostingstack:]>"",""<Organization [citusdata:]>"",""<Organization [pganalyze:]>""}"
taylanpince                             ,Hipo                                                                                                                                                                                                                                                      ,"{rbarazi,emenel,kbranigan,dlimeb,sookaa,greatestape,djoume,talhasyed,sarperdag,horvath,gkmngrgn,cihann,Silanus,vigo,mmilan,powellc,codeadict,readywater,mike360,ahmet,supersuraccoon,fatiherikli,mertdumenci,wdmchaft,umitunal,serdardalgic,pije76,olishaw,mesuutt,adamhaney,nabucosound,keremtiryaki,firstthumb,Binusz,advance512,artinyoussefian,bedabest,fordream,stepmr,erdem,omerg,THR,ibryapici,ozankoc,TugrulAsik,berkovski,iltercengiz,senemanil,akaralar,erhnby,hasangokhan,brtn,livacengiz,ybrs,ayalcinkaya,muraty,andrewbennie,suleymancalik,anonrig,eralpkaraduman,durul,vargi,agemo,huseyinozkilic,artizco,ahmadajmi,yigitsadic,orges,techeventstr,serkanbudak,psema4,mehmeet43,muratgurel,rydermackay,syedfa,arslanbilal,ozkanaltuner,efecan,ebsaral,omarodafo,SafaOzturk,melihrota,burakoner,apr214,cagdass,ttugcu,WrathChaos,hkmtbs,berkaay,kvtoraman,hollance,Omurden,tugbaa,ngs,seyhunak,marksinkovics,ssuchanowski,suryasingh,cemonel,cemaleker,serkansokmen,toygar,foskon,jfilipe,vinhnx,leCandas,jsappme,EnesTanriover,joabje,manorie,kaloutsa,mehmetkose,bahadir,omerkantar,halilemreozen,ersentekin,epodak,muhasturk,wojteklu,yasintoy,sinanargun,yusufkildan,Fluen,kamyarg,erhan,atakanozguryildiz,gnashe,furkansahin,angusshire,whoisozan,ozgetncr,sohrab-sardari,fmut,merteminoglu,MikkoF,efe,angelvasa,zh86-cn,liangxingguang,salp,enesozturk,tugceulutas,savepopulation}",{mmilan},"{None,C,Python,Objective-C,JavaScript,Swift,CSS,Arduino,ActionScript}","{""<Organization [Hipo:]>"",""<Organization [cocoaist:]>""}"
jasonmp85                               ,Citus Data                                                                                                                                                                                                                                                ,"{jwalsh,kevinelliott,jaykru,wintlu,cs0511,guedes,surjikal,kmanley,h4ck3rm1k3,vishalbelsare,gxela,gmcquillan,hammer,Jhanbanan,samilokan,codehate,bstreiff,markandrus,lfittl,faceleg,furkansahin,wshino,hooopo,angusshire,adnmustam,ternsip,lucasrpb}",,{Ruby},"{""<Organization [citusdata:]>""}"
dkberktas                               ,Twitter                                                                                                                                                                                                                                                   ,"{yekmer,JudyITchick,jessejones,rajkumar17,milkers,bkoc,furkansahin,tapwork,peacecwz,snencinas1,azatm}","{erikeldridge,noahlt,atebits,MugunthKumar,calpar,seyhunak,azymnis,enis,yekmer,kattrali,engintekin,eggert,brendanw,supermarin,edouardtabet,insurgentgames,genkiyooka}","{Objective-C,None,C,Ruby}",
